,cnpj_basico,cnpj_ordem,cnpj_dv,id_matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_ativ,cnae_princ,cnaes_sec,tipo_lograd,lograd,numero,complemento,bairro,cep,uf,municipio,ddd_1,telefone_1,ddd_2,telefone_2,ddd_fax,fax,email,situacao_especial,data_situacao_especial,cnpj,porte
3253425,70965835,1,61,1,,2,20051103,0,,,19930501,4789099,"3314711,3314712,3329599,4614100,4661300,4732600,5211799",RUA,DOS TROMBONES,80,,TAIAMAN,38415111.0,MG,5403,34.0,32306430,,,,,,,,70965835000161,Parceiros
3655488,3341345,2,88,2,REGIONAL,2,0,0,,,20020828,4661300,"3314712,3314711,4614100",AVENIDA,JUSCELINO KUBITSCHEK DE OLIVEIRA,1771,,JARDIM CEU AZUL,38706187.0,MG,4959,34.0,38185200,,,34.0,38391930,NEIDE@GRUPO-REGIONAL.COM,,,3341345000288,Parceiros
3799220,18460972,1,24,1,,2,20051103,0,,,19751111,4661300,"3314711,3314712,4511101,4511102,4512901,4520001,4520002,4530703,4614100",AVENIDA,JUSCELINO KUBITSCHEK DE OLIVEIRA,1033,,JARDIM DOS ANDRADES,38700156.0,MG,4959,34.0,38225566,,,34.0,38225700.0,ditrasa@ditrasa.com.br,,,18460972000124,Parceiros
3799691,1382427,1,64,1,,2,20050827,0,,,19960814,4661300,3314712,AVENIDA,ROMANO ZORZO,1940,,JARDIM SOBRADINHO,13602002.0,SP,6165,19.0,35411255,,,,,locatil@linkway.com.br,,,1382427000164,Parceiros
4035269,10627815,2,30,2,AGROMAX,2,20090623,0,,,20090623,4661300,"3314712,4530703,4614100,4744001",RODOVIA,PA 256,S/N,,NOVA CONQUISTA,68627451.0,PA,509,91.0,37296700.0,91.0,31848114.0,91.0,32447156.0,CONTABILIDADE@AGROMAXNH.COM.BR,,,10627815000230,Parceiros
4052456,3341345,4,40,2,REGIONAL,2,20090309,0,,,20090309,4661300,"3314712,3314711,4614100",RUA,ARLINDO GOMES BRANQUINHO,501,,CAPIM BRANCO II,38616114.0,MG,5407,38.0,36769015.0,,,34.0,38391930.0,NEIDE@GRUPO-REGIONAL.COM,,,3341345000440,Parceiros
4106790,73643959,4,61,2,ARAGUAIA AGRICOLA LTDA,2,20100525,0,,,20100525,4661300,"3314712,4511101,4511102,4511103,4512901,4520001,4530703,4530704,4530706,7490104",RUA,COLONIZADOR ENIO PIPINO,5551,,SETOR INDUSTRIAL NORTE,78550542.0,MT,8985,65.0,32124052.0,,,66.0,35451298.0,CONTABILIDADE@ARAGUAIA-AGRICOLA.COM.BR,,,73643959000461,Parceiros
4114625,1113855,4,34,2,PINESSO MAQUINAS,2,20100617,0,,,20100617,4661300,"4511104,4669999,4530701,4530702,4520001,4681805,4683400,4520002,4614100,4612500,3314712,7731400,0161099",AVENIDA,IDEMAR RIEDI,10112,      SALA B,INDUSTRIAL I ETAPA,78890000.0,MT,9907,66.0,35453300.0,66.0,96821305.0,66.0,35453300.0,kleber@pinessomaquinas.com.br,,,1113855000434,Parceiros
4346616,4067040,3,73,2,SERVEL,2,20120314,0,,,20120314,4511104,"3314708,3314717,3314711,3314712,3314716,4511106,4511101,4511102,4530701,4530703,4530705,4530702,4661300,4662100,4663000,7490104",AVENIDA,PRESIDENTE DUTRA,2600,,SANTA MONICA,44077750.0,BA,3515,79.0,32793200.0,,,79.0,32793232,MARCOS.SANTOS@SERVEL.COM.BR,,,4067040000373,Parceiros
4447583,10627815,3,10,2,AGROMAX,2,20120504,0,,,20120504,4661300,"3314712,4530703,4614100,4744001",RODOVIA,SANTAREM-CUIABA,985,KM: 06;,MATINHA,68030000.0,PA,535,91,31848135,,,,,EVENY@AGROMAXNH.COM.BR,,,10627815000310,Parceiros
4570675,11331727,1,78,1,MP MAQUINAS AGRICOLAS,2,20091110,0,,,20091110,2833000,"2930101,3314711,3314712,4614100,4661300",AVENIDA,LUIZ PAVAO,150,,DISTRITO INDUSTRIAL,14815000.0,SP,6487,16.0,33681005.0,16.0,33681333.0,16.0,33681005.0,ATENDIMENTO@ESCRITORIOCENTRALSC.COM.BR,,,11331727000178,Parceiros
4576297,8041695,3,23,2,MUTUM MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA,2,20121120,0,,,20121120,4511101,"3314711,3314712,4511102,4512901,4530703,4661300,7490104",AVENIDA,PREFEITO WALL FERRAZ,9271,      N 9247                    BR 316,LOURIVAL PARENTE,64022800.0,PI,1219,86.0,32164600.0,,,,,,,,8041695000323,Parceiros
4630550,17813638,1,44,1,TREVO,2,20130325,0,,,20130325,230600,"7731400,7719599,3314712,3314716,0161003,4520001,4313400",RUA,TUPINIQUINS,1.520,,PEQUI,45828102.0,BA,3117,73.0,32612400.0,,,73.0,32612400,FINANCEIRO.TREVOFLORESTAL@UOL.COM.BR,,,17813638000144,Parceiros
4725883,18366883,1,13,1,ASSISTEC SERVIOS,2,20130618,0,,,20130618,3314711,"3314712,0161003",RUA,IPE,980,,JARDIM VENEZA,78850000.0,MT,9871,66.0,34984873.0,,,,,wagner_andreia@ig.com.br,,,18366883000113,Parceiros
387522,20800575,3,68,2,BTG PRODUTOS E SERVICOS,2,20140808,0,,,20140808,4661300,"0161003,3314711,3314712,4511102,4511103,4512901,4512902,4520001,4530701,4530702,4530703,4530704,4530705,4530706,4611700,4614100,4619200,4623108,4642701,4643501,4681805,4732600,4763601,4781400,4930201,4930202,4930204,7490104,7731400,8599604",RUA,JOSE AUGUSTO MALGARIN BUZATA,700,,QUINHAO VI,79490000.0,MS,9809,67.0,32957500.0,,,,,,,,20800575000368,Parceiros
2621303,47390307,14,24,2,SHARK TRATORES,2,20041211,0,,,19940124,4661300,"3314711,4520001,4530701,4619200,4669999,4693100,4732600,7731400",RUA,CAPITAO ISRAEL,230,,PQ INDL JURUMIRIM,18704190.0,SP,6189,14.0,37111188,,,,,AVARE@SHARKTRATORES.COM.BR,,,47390307001424,Parceiros
2621307,47390307,12,62,2,SHARK TRATORES,2,20041211,0,,,19911022,4661300,"3314711,4520001,4530701,4619200,4669999,4693100,4732600,7731400",RUA,GERTRUDES DA C. CABRAL,640,,VILA NANCY,8735050.0,SP,6713,11.0,47237700,,,,,MOGI@SHARKTRATORES.COM.BR,,,47390307001262,Parceiros
2784288,67620377,8,90,2,MINERVA,2,20051103,0,,,20030425,4623101,"0151201,4619200,4623109,7490104",RODOVIA,PA-151 KM 12,S/N,,ZONA RURAL,68440000.0,PA,401,17.0,33123406,17.0,33213328,,,JOSE.FERREIRA@MINERVAFOODS.COM,,,67620377000890,Parceiros
2833969,77310589,7,44,2,,2,20031018,0,,,19921105,4661300,"4520001,4530701,4619200,4662100,4665600,4669999,4732600,7731400,7732201",RODOVIA,BR-463,2667,      KM 02,ZONA DE SAO TOMAZ,79906666.0,MS,9131,67.0,34333484,,,,,PONTAPORA@EQUAGRIL.COM.BR,,,77310589000744,Parceiros
2833975,77310589,11,20,2,EQUAGRIL,2,20031018,0,,,19980624,4661300,"4530701,4662100,4665600,4669999,4732600,4520001,4619200,7731400,7732201",RODOVIA,BR 280,1.913,KM    234,INDUSTRIAL 2,89460000.0,SC,8073,47.0,36216700,,,,,CANOINHAS@EQUAGRIL.COM.BR,,,77310589001120,Parceiros
2833986,77310589,21,0,2,,2,20031028,0,,,20031028,4661300,"3314712,4520001,4530701,4619200,4662100,4665600,4669999,4732600,7731400,7732201",RUA,MATO GROSSO,555,,CENTRO,79950000.0,MS,9113,67.0,34616064,,,,,NAVIRAI@EQUAGRIL.COM.BR,,,77310589002100,Parceiros
3742690,47390307,23,15,2,SHARK TRATORES,2,20041211,0,,,20020416,4661300,"3314711,4520001,4530701,4619200,4669999,4693100,4732600,7731400",ESTRADA,MUNICIPAL ANTONIO SERAFIM DOS SANTOS,1000,,VALE SAN FERNANDO,18204150.0,SP,6547,15.0,33769366,,,,,ITAPETININGA@SHARKTRATORES.COM.BR,,,47390307002315,Parceiros
3744633,77310589,10,40,2,EQUAGRIL,2,20031018,0,,,19950705,4661300,"4520001,4530701,4619200,4662100,4665600,4669999,4732600,7731400,7732201",RODOVIA,PR 323,4940,TREVO,CENTRO,87504616.0,PR,7935,44.0,36392377,44.0,36210100,,,UMUARAMA@EQUAGRIL.COM.BR,,,77310589001040,Parceiros
3944613,5444853,4,89,2,AGRICASE,2,20080813,0,,,20080813,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",RODOVIA,BR-163,13.945,      CHACARA ESPERANCA         ESTANCIA DON PERCIO,PARQUE DAS NACOES,79842000.0,MS,9073,67.0,34101500,,,,,DOURADOS@AGRICASE.COM.BR,,,5444853000489,Parceiros
4180113,47390307,30,44,2,SHARK TRATORES,2,20101123,0,,,20101123,4661300,"3314711,4520001,4530701,4619200,4669999,4693100,4732600,7731400",RODOVIA,VEREADOR ABEL FABRICIO DIAS,2221,,CRISPIM/AGUA PRETA,12402020.0,SP,6861,12.0,36442450.0,,,,,PINDA@SHARKTRATORES.COM.BR,,,47390307003044,Parceiros
